"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-16","0.00","59","54","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-17","0.00","59","53","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-18","0.00","56","52","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-19","0.00","56","52","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-20","0.00","56","52","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-21","0.00","56","49","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-22","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-23","0.01",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-24","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-25","0.00","59","42","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-26","0.00","59","53","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-27","0.00","58","51","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-28","0.00","62","53","61"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-29","0.00","61","54","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-30","0.00","61","51","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-31","0.00","61","50","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-01","0.00","60","48","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-02","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-03","0.00","60","48","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-04","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-05","0.00","61","50","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-06","0.00","58","51","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-07","0.00","58","34","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-08","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-09","0.00","58","53","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-10","0.00","58","51","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-11","0.00","57","46","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-12","0.00","59","51","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-13","0.00","61","49","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-14","0.00","61","49","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-15","0.00","61","48","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-16","0.00","62","43","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-17","0.00","65","44","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-18","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-19","0.00","58","43","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-20","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-21","0.00","53","46","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-22","0.00","55","47","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-23","0.00","59","38","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-24","0.00","62","38","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-25","0.00","63","38","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-26","0.00","62","38",
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-27","0.00","62","39","54"
